"Subject code","Catalog Number","Course Title","Course Description","Grading Basis","Course Typically Offered"
"ME","424L","Mechanical Systems Design","An integrative design course addressing both creative and practical aspects of the design of systems.  Development of the creative design process, including problem formulation and needs analysis, feasibility, legal, economic and human factors, aesthetics, safety, synthesis of alternatives, and design optimization.  Application of design methods through several projects including a term design project.  Prerequisite: Mechanical Engineering 344L, 421L, and 431L.","Graded","Fall and/or Spring"
"ME","426","Ocean Engineering","A challenging Ocean Engineering project will be undertaken in this class. Past examples include participation in a national XPRIZE contest to build an Ocean Sensor. Students define project scope and form task-oriented sub-teams to make significant progress toward overall class project goal. Students are expected to spend several hours per week outside of class working on the team projects. Students will need to be in teams that can all meet for at least couple of hours at the same time each week. Prerequisite: one of ECE 230L, ECE 250D, ECE 270DL, ECE 280L, Mechanical Engineering 221L, Engineering 244L, or Environment 102.","Graded","Fall Only"
"ME","426A","Ocean Engineering","A challenging Ocean Engineering project will be undertaken in this class. Past examples include participation in a national XPRIZE contest to build an Ocean Sensor. Students define project scope and form task-oriented sub-teams to make significant progress toward overall class project goal. Students are expected to spend several hours per week outside of class working on the team projects. Students will need to be in teams that can all meet for at least couple of hours at the same time each week. Prerequisite: one of ECE 230L, ECE 250D, ECE 270DL, ECE 280L, Mechanical Engineering 221L, Engineering 244L, or Environment 102. Taught in Beaufort at the Duke Marine Lab.","Graded","Spring Only"
"ME","431L","Heat and Mass Transfer","A rigorous development of the laws of mass and energy transport as applied to a continuum. Energy transfer by conduction, convection, and radiation. Free and forced convection across boundary layers. Application to heat exchangers. Selected laboratory work. Prerequisite: Mechanical Engineering 331L, Mechanical Engineering 336L, and Mathematics 353.","Graded","Fall and/or Spring"
"ME","438","Constructal Theory and Design","Flow configuration in nature and engineering emerges from the constructal law of increase of flow access in time, when the flow system is endowed with freedom to morph.  The course brings together the basic principles of fluid mechanics, heat transfer and thermodynamics, and teaches how to generate (to 'discover') shape and structure for energy flow systems. The course teaches design as science, and presents a paradigm that is applicable across the board, from engineering to biology, geophysics and social dynamics.","Graded","Spring Only"
"ME","442","Introduction to Robotics and Automation","Fundamental notions in robotics, basic configurations of manipulator arm design, coordinate transformations, control functions, and robot programming. Applications of artificial intelligence, machine vision, force/torque, touch and other sensory subsystems. Design for automatic assembly concepts, tools, and techniques. Application of automated and robotic assembly costs, benefits, and economic justification. Selected laboratory and programming assignments. Prerequisites: ECE 280L or EGR 224L.","Graded","Fall Only"
"ME","461","Energy Engineering and the Environment","Efficiencies of both new and established energy sources and conversion methods. Evaluation of alternative energy technologies by statistical information and by modeling using principals of fluid mechanics, thermodynamics and heat transfer. Electricity generation by fossil fuels, nuclear, solar, wind and hydro. Space heating and cooling by traditional methods and by solar. Transportation energy in automobiles, mass transit and freight. Environmental consequences of energy choices on local, national and global scales, including toxic emissions, greenhouse gases and resource depletion. Prerequisite: Mechanical Engineering 331L Thermodynamics.","Graded","Occasionally"
"ME","472","Aircraft Performance","Brief overview of the aerodynamics of wings and bodies including profile and induced drag, performance of propellers and internal combustion and gas turbine power plants; the power curve and implications on the performance of the aircraft in steady-state and accelerated flight included power required, airspeeds to fly, takeoff and landing performance, performance of aircraft in turning flight; introduction to the conceptual design of new aircraft. Co-requisite: Mechanical Engineering 336L.","Graded","-"
"ME","473","Aerospace Structures","A rigorous course covering the analysis of aerospace structures.  Basic elasticity, the stiffness method, plate and box-like structures, buckling, vibrations, loads, materials, design.  Some project work and use of software. Prerequisite: EGR 201L, EGR 244L, Math 216. Use of Sakai. Text: Megson, 'Aircraft Structures', Eslevier, 2012.","Graded","-"
"ME","490","Special Topics in Mechanical Engineering","Study arranged on a special engineering topic in which the faculty has particular interest and competence as a result of research and professional activities. Consent of instructor and director of undergraduate studies required.","Graded","Fall and/or Spring"
"ME","491","Special Projects in Mechanical Engineering","Individual projects arranged in consultation with a faculty member. Open only to seniors enrolled in the graduation with distinction program or showing special aptitude for research. Half course to two courses. To be taught in the Fall. Prerequisites: B average and consent of the director of undergraduate studies.","Graded","-"
"ME","492","Special Projects in Mechanical Engineering","Individual projects arranged in consultation with a faculty member. Open only to seniors enrolled in the graduation with distinction program or showing special aptitude for research. Half course to two courses. To be taught in the Spring. Prerequisites: B average and consent of the director of undergraduate studies.","Graded","-"
"ME","493","Engineering Undergraduate Fellows Projects","Continuation course for Engineering Undergraduate Fellows, contingent upon satisfactory completion of 394. Consent required.","Graded","-"
"ME","494","Engineering Undergraduate Fellows Projects","Final continuation course for Engineering Undergraduate Fellows, contingent upon satisfactory completion of 394 and 493. Consent required.","Graded","-"
"ME","499","Undergraduate Research Seminar Series","For students enrolled in senior-level undergraduate research. Intended for those pursuing Graduation with Departmental Distinction. Course will give students an opportunity to present research results to their peers and faculty in mechanical engineering throughout the semester, as well as provide exposure to the research of other mechanical engineering seniors. Permission of instructor required","No Grade Associated","Fall and/or Spring"
