"Subject code","Catalog Number","Course Title","Course Description","Grading Basis","Course Typically Offered"
"BME","290","Intermediate Topics (GE)","Intermediate subjects or selective topics related to programs within biomedical engineering. Consent of instructor required.","Graded","Fall and/or Spring"
"BME","290L","Intermediate Topics with Lab (GE)","Intermediate subjects or selective topics related to programs within biomedical engineering. The course includes laboratory exercises. Consent of instructor required.","Graded","Occasionally"
"BME","301L","Bioelectricity (AC or GE)","The electrophysiology of excitable cells from a quantitative perspective. Topics include the ionic basis of action potentials, the Hodgkin-Huxley model, impulse propagation, source-field relationships, and an introduction to functional electrical stimulation. Prerequisite: Biomedical Engineering 244L and 260L and Mathematics 353 and (Biomedical Engineering 253L or Electrical and Computer Engineering 110L).","Graded","Spring Only"
"BME","302L","Fundamentals of Biomaterials and Biomechanics (AC or GE)","Principles of materials science and mechanics applicable to orthopedics, cell signaling, medical imaging, implant design, injury prevention and treatment, cardiovascular mechanics, and tissue engineering. Topics include: structure-function relationships of biocomposites; unique properties of biomaterial surfaces; behavior of tissues and materials in physiological environments; mechanics of human movement and physiology; dynamics and vibration; and viscoelastic models. Selected experimental measurements on biomechanical and biomaterial systems. Prerequisite: BME 244L and (Math 353 or 353A) and (ME 221L or BME 221L).","Graded","Spring Only"
"BME","303L","Modern Diagnostic Imaging Systems (AC or GE)","The underlying concepts and instrumentation of several modern medical imaging modalities. Review of applicable linear systems theory and relevant principles of physics. Modalities studied include X-ray radiography (conventional film-screen imaging and modern electronic imaging), computerized tomography (including the theory of reconstruction), ultrasound, and nuclear magnetic resonance imaging. Prerequisite: BME 244L; BME 271 or 271A or ECE 280L; junior or senior standing. Graduate students must get permission.","Graded","Spring Only"
"BME","305L","Molecular Engineering","In this course, students will explore topics in physical and chemical biology as it pertains to the engineering of biomolecules, from DNA, RNA, to proteins. In the lab, students will integrate state-of-the-art computational methods, from structure-based modeling to deep learning, with experimental bioengineering methodologies to design novel biomolecules with useful properties.","Graded","Fall Only"
"BME","306L","Cellular Engineering (AC or GE)","This BME area core course offers an engineer's perspective on how cell processes including gene and protein regulation, growth, proliferation, death, differentiation, adhesion and migration can be manipulated to achieve a desired outcome. Mathematical models are applied to quantitatively describe these cell processes. Applications of cell therapies and tissue engineering are examined. Mammalian cell culture techniques including quantitative measurements of viability, proliferation, differentiation, and protein and gene expression are introduced within the laboratory. MC area core course leading to MC area elective pathway. Prerequisite: BME 244L and BME 260L","Graded","Spring Only"
"BME","307","Transport Phenomena in Biological Systems (AC or GE)","An introduction to the modeling of complex biological systems using principles of transport phenomena and biochemical kinetics. Topics include the conservation of mass and momentum using differential and integral balances; rheology of Newtonian and non-Newtonian fluids; steady and transient diffusion in reacting systems; dimensional analysis; homogeneous versus heterogeneous reaction systems. Biomedical and biotechnological applications are discussed. Prerequisite: Biomedical Engineering 244L, 260L, and Mathematics 353.","Graded","Spring Only"
"BME","307D","Transport Phenomena in Biological Systems (AC or GE, BB)","An introduction to the modeling of complex biological systems using principles of transport phenomena and biochemical kinetics. Topics include the conservation of mass and momentum using differential and integral balances; rheology of Newtonian and non-Newtonian fluids; steady and transient diffusion in reacting systems; dimensional analysis; homogeneous versus heterogeneous reaction systems. Biomedical and biotechnological applications are discussed. Prerequisite: Biomedical Engineering 244L, 260L, and Mathematics 353.","Graded","Spring Only"
"BME","354L","Introduction to Medical Instrumentation","Study of the basic principles of biomedical electronics with emphasis on transducers, instruments, micro-controller and PC based systems for data acquisition and processing. Laboratories focus on measurements and circuit design emphasizing design criteria appropriate for biomedical instrumentation. Prerequisite: Physics 152L; Mathematics 353 or 353A; BME 244L; ECE 110L or BME 253L; BME 271 or BME 271A or ECE 280L; or consent of the instructor.","Graded","Fall and/or Spring"
"BME","390L","Special Topics with a Lab","Topics vary from semester to semester.","Graded","Fall and/or Spring"
"BME","390S","Special Topics Seminar in BME","Topics vary from semester to semester. Instructor consent required.","Graded","Fall and/or Spring"
"BME","394","Projects in Biomedical Engineering (GE)","For juniors and seniors who express a desire for such work and who have shown aptitude for research in one area of biomedical engineering. Reserved for Engineering Undergraduate Fellows. Consent of program director required.","Graded","-"
"BME","405L","Biotech Design I (GE, MC)","This course is the first semester of a two semester biochemical engineering design course sequence on biotechnology. It is a team focused project based course. Student teams take on real world problems and evaluate the commercial and technical potential of biotechnological solutions. The first semester course is primarily conceptual (on paper) design which students can then build and test in the second semester design course, Biotech Design II. Previous projects have included the design of diagnostics, small molecule and protein drugs, cell based therapies, CRISPR based therapeutics as well as novel bioprocesses. Prerequisites: BME 260L (GE, MC) and senior standing.","Graded","Fall and/or Spring"
"BME","406L","Biotech Design II","This is the second semester of a two semester design course sequence on biotechnology. In this second semester, student teams will design, build and test biotechnological designs. The course will cover basic principles of product/process design and commercialization including project management, market and economic constraints, regulatory considerations and an intellectual property assessment. Satisfies Design Requirement. Prerequisites: BME 405L and senior standing","Graded","Fall and/or Spring"
"BME","432L","Biomechanics and Vehicle Safety Engineering (DR)","Design course dealing with contemporary issues in the biomechanics of injury and motor vehicle safety engineering. Covers international standards for safety in vehicle design. Topics also include: airbag and belt systems, structural vehicle components, accident reconstruction, the biomechanics of injury, anthropomorphic test devices, and injury risk assessment metrics. Problem-based approach where students work as teams on a current engineering problem in dummy design or injury mitigation technology. The teams set design specifications, evaluate the designs use finite element analysis and fabricate the final product using rapid prototyping. Prerequisite: BME 302L; senior standing.","Graded","Fall Only"
"BME","436L","Biophotonic Instrumentation (DR)","Design of optical instruments for biomedical applications. Section I focuses on basic optics theory and laboratory practice. Section II focuses on deeper understanding of selected biophotonic instruments, including laboratory work. Section III comprises the design component of the course. Student teams are presented with a design challenge and work through the steps of engineering design, culminating in building a prototype solution. Lecture topics include engineering design, intellectual property protection, engineering ethics, and safety. Prerequisite: BME 354L; senior standing.","Graded","Spring Only"
"BME","460L","Devices for People with Disabilities (DR)","Design of custom devices to aid disabled individuals. Students will be paired with health care professionals at local hospitals who will supervise the development of projects for specific clients. Formal engineering design principles will be emphasized; overview of assistive technologies, patent issues, engineering ethics. Oral and written reports will be required. Selected projects may be continued as independent study. Course includes a service-learning component involving work in the community. Prerequisites: BME 354L; senior standing.","Graded","Fall Only"
"BME","462L","Design for the Developing World (DR)","Design of custom devices to help the specific and unique needs of developing world hospitals. Formal engineering design principles will be emphasized; overview of developing world conditions, patent issues, engineering ethics. Oral and written reports will be required. Students may elect to personally deliver their projects to a developing world hospital, if selected, in the summer following the course. Prerequisite: BME 354L; senior standing.","Graded","Fall and/or Spring"
"BME","464L","Medical Instrument Design (DR)","General principles of signal acquisition, amplification processing, recording, and display in medical instruments. System design, construction, and evaluation techniques will be emphasized. Methods of real-time signal processing will be reviewed and implemented in the laboratory. Each student will design, construct, and demonstrate a functional medical instrument and collect and analyze data with that instrument. Formal write-ups and presentations of each project will be required. Prerequisite: BME 354L; senior standing.","Graded","Fall Only"
"BME","473L","Medical Device Design I","This course is the first of a two-semester design sequence that will immerse students in a formal engineering design process. Students will work on authentic design problems identified with Duke Medical Center clinicians and local medical technology companies. Students will develop and determine design feasibility for a device, system, material or process, subject to real-world constraints, including time, money, and resources. Students will be expected to formally communicate design objectives and performance in written and oral form. Corequisite: Biomedical Engineering 354L. Instructor consent required.","Graded","Fall and/or Spring"
"BME","474DL","Medical Device Design II","This course is the second of a two-semester design sequence that immerses students in a formal engineering design process working on authentic design problems identified with Duke Medical Center clinicians and local medical technology companies. This second-semester course allows the students to progress through low-to-mid-to-high fidelity prototypes and evaluate their designs in the context of industry standards. Prerequisite: Biomedical Engineering 473L.","Graded","Fall and/or Spring"
"BME","474L","Medical Device Design II","This course is the second of a two-semester design sequence that immerses students in a formal engineering design process working on authentic design problems identified with Duke Medical Center clinicians and local medical technology companies. This second-semester course allows the students to progress through low-to-mid-to-high fidelity prototypes and evaluate their designs in the context of industry standards. Prerequisite: Biomedical Engineering 473L.","Graded","Fall and/or Spring"
"BME","490L","Special Topics in Biomedical Engineering Design (DR)","Design of biomedical devices emphasizing formal engineering design principles, as well as building and testing a prototype. Lecture topics include engineering design, intellectual property protection, engineering ethics, and safety. Oral and written reports are required. Used for new design courses in BME. Prerequisites: Senior standing and consent of the instructor.","Graded","Occasionally"
"BME","493","Projects in Biomedical Engineering (GE)","For juniors and seniors who express a desire for such work and who have shown aptitude for research in one area of biomedical engineering. Consent of instructor required.","Graded","-"
"BME","494","Projects in Biomedical Engineering (GE)","For juniors or seniors who express a desire for such work and who have shown aptitude for research in one area of biomedical engineering. Consent of instructor required.","Graded","-"
"BME","493-1","Projects in Biomedical Engineering (GE)","For juniors and seniors who express a desire for such work and who have shown aptitude for research in one area of biomedical engineering. Consent of instructor required. Half-credit version of BME 493.","Graded","Fall and/or Spring"
"BME","494-1","Projects in Biomedical Engineering","For juniors or seniors who express a desire for such work and who have shown aptitude for research in one area of biomedical engineering. Consent of instructor required. Half-credit version of BME 494.","Graded","Fall and/or Spring"
