"Subject code","Catalog Number","Course Title","Course Description","Grading Basis","Course Typically Offered"
"ECE","381","Fundamentals of Digital Signal Processing","An introduction to theory and applications of digital signal processing. Concepts, analytical tools and design techniques to process signals in digital form. Signal sampling and reconstruction, discrete-time transforms including the z-transform, discrete-time Fourier transform, and discrete Fourier transform. Discrete systems including the analysis and design of FIR and IIR filters. Introduction to applications of digital signal processing such as image processing, and optimal detection of signals in noise. Discrete system simulations using MATLAB. Prerequisite: Electrical and Computer Engineering 280L.","Graded","Fall Only"
"ECE","382L","Control of Dynamic Systems","Model dynamic systems, characterize time and frequency domain response with respect to particular inputs. Characterize systems in terms of rise-time, settling-time, bandwidth. Identify the difference between stable and unstable system. Apply feedback control to modify response of dynamic systems. Develop methods of designing compensators for single-input, single-output, and multiple-input, multiple-output dynamic systems. Introduces optimal control theory, the linear quadratic regulator problem, the linear quadratic Gaussian problem. Gain a physical understanding of role of feedback control in modifying the dynamics of a system. Prerequisite: (Engineering 224L or ECE 280L) and Mathematics 216. Not open to students who have taken ECE 382.","Graded","Fall and/or Spring"
"ECE","383","Introduction to Robotics and Automation","Fundamental notions in robotics, basic configurations of manipulator arm design, coordinate transformations, control functions, and robot programming. Applications of artificial intelligence, machine vision, force/torque, touch and other sensory subsystems. Design for automatic assembly concepts, tools, and techniques. Application of automated and robotic assembly costs, benefits, and economic justification. Selected laboratory and programming assignments. Prerequisites: ECE 280L or EGR 224L.","Graded","Fall Only"
"ECE","384LA","Sound in the Sea: Introduction to Marine Bioacoustics","Fundamentals of marine bioacoustics with a focus on current literature and conservation issues. Topics include: introduction to acoustics; acoustic analysis methods and quantitative tools; production and recording of sound; ocean noise; propagation theory; active and passive acoustics; hearing, sound production and communication in marine organisms, potential impacts of anthropogenic noise; and regulation of marine sound. Labs will focus on methodologies used for generating, recording and analyzing marine sounds. Taught in Beaufort at Duke Marine Lab.","Graded","Fall and/or Spring"
"ECE","391","Projects in Electrical and Computer Engineering","Project arranged on a special topic by an instructor with related interests and expertise. For junior students. Consent of instructor and director of undergraduate studies required.","Graded","Fall Only"
"ECE","392","Projects in Electrical and Computer Engineering","Project arranged on a special topic by an instructor with related interests and expertise. For junior students. Consent of instructor and director of undergraduate studies required.","Graded","Spring Only"
"ECE","393A","ECE Research Independent Study","Independent study in Electrical & Computer Engineering. Taught in Beaufort at Duke Marine Lab.","Graded","Fall and/or Spring"
"ECE","420","Introduction to Quantum Engineering","Quantum mechanics was discovered at the beginning of the 20th century and has had a profound effect on the development of modern technology. This course is about the potential for quantum technologies in the 21st century. The focus of the course this semester will be a survey of quantum computation, a field that promises to revolutionize the way we compute by using the dynamics of quantum mechanics. Topics include quantum circuits, introduction to quantum algorithms, hardware, and architectures. Prerequisite: ECE 270DL and ECE 280L and one of (Math 216, 218D-1, 218D-2, or 221). Not open to students who have taken ECE 520.","Graded","Fall Only"
"ECE","431","Power Electronic Circuits for Energy Conversion","Efficient conversion of electrical energy is critical for electric and hybrid vehicles, wind and solar energy, power grids, computers, medical devices, and portables. This course teaches analysis and design of power electronic circuits for energy conversion, including circuit operation (converter topologies, steady-state modeling, switch realization), converter control (ac modeling, small-signal transfer functions, feedback), and magnetics (inductors, transformers). The course shares lectures with ECE/Energy Engineering 531, but has fewer assignments. Prerequisite: ECE 230L or Engineering 224L or graduate student standing. Not open to students who have taken ECE 531 or Energy Engineering 531.","Graded","Occasionally"
"ECE","449","Sensors and Sensor Interface Design","Teams design board-level sensing system that achieves stated specifications. Analog, digital, wireless, optical & fluidic components. Resource planning/management, project budgeting, study of component specs & characteristics, vendor interaction, circuit schematic design & simulation, board layout, submission to foundry, component solder assembly, system test, comparison to design specs. Cost, economic viability, ethical & environmental issues, manufacturability considered. Prerequisite: ECE 230L, 250D, 270DL, and 280L & MATH 353 & (MATH 230 or ECE 555 or ECE 380 or STA 240L or EGR 238L or MATH 238L or MATH 340) & PHYS 152L & CHEM 101DL & one of (ECE 330L or ECE 331L or ECE 340L or ECE 350L).","Graded","Spring Only"
"ECE","458","Engineering Software for Maintainability","Students will refine their ability to engineer software, with a focus on maintainability. Teams complete a large programming project whose requirements undergo evolutions during the semester. Prior to each evolution, teams submit their code for the current requirements and a written document analyzing their current design and reflecting on how past design choices impacted their most recent work. Teams must consider appropriate engineering standards and realistic constraints. Perquisite: ECE 230L, 250D, 270DL, and 280L and (CompSci 308 or 307D or Instructor Permission) and (Math 353 or 356) and (STA 130L or Math 230 or Math 231 or ECE 555 or ECE 380 or STA 240L or EGR 238L or Math340) and (Physics 152L or 26) and (Chem 101DL or 20 or 21).","Graded","Spring Only"
"ECE","459","Introduction to Embedded Systems","An introduction to hardware/software codesign of embedded computer systems. Structured programming techniques for high and low level programs. Hardware interfacing strategies for sensors, actuators, and displays. Detailed study of Motorola 68HC11 and 68HC12 microcomputers as applied to embedded system development. Hardware and simulation laboratory exercises with 68HC11 and 68HC12 development boards. Major design project. Prerequisite: ECE 230L and 250D and 270DL and 280L and (ECE 350L, 331L, or 330L) and (Mathematics 353 or 356) and (Physics 152L or 26) and (Chemistry 101DL, 20, or 21) and (Statistical Science 130, Mathematics 230, ECE 555, ECE 380, Statistical Science 240L, Engineering 238L, or Mathematics 340).","Graded","Fall Only"
"ECE","461","Ocean Engineering","A challenging Ocean Engineering project will be undertaken in this class. Past examples include participation in a national XPRIZE contest to build an Ocean Sensor. Students define project scope and form task-oriented sub-teams to make significant progress toward overall class project goal. Students are expected to spend several hours per week outside of class working on the team projects. Students will need to be in teams that can all meet for at least couple of hours at the same time each week. Prerequisite: one of ECE 230L, ECE 250D, ECE 270DL, ECE 280L, Mechanical Engineering 221L, Engineering 244L, or Environment 102.","Graded","Fall Only"
"ECE","461A","Ocean Engineering","A challenging Ocean Engineering project will be undertaken in this class. Past examples include participation in a national XPRIZE contest to build an Ocean Sensor. Students define project scope and form task-oriented sub-teams to make significant progress toward overall class project goal. Students are expected to spend several hours per week outside of class working on the team projects. Students will need to be in teams that can all meet for at least couple of hours at the same time each week. Prerequisite: one of ECE 230L, ECE 250D, ECE 270DL, ECE 280L, Mechanical Engineering 221L, Engineering 244L, or Environment 102. Taught in Beaufort at the Duke Marine Lab.","Graded","Spring Only"
"ECE","469","Wearable and Ubiquitous Computing Systems Design","Design, implement, and evaluate wearable and ubiquitous computing systems. Topics include challenges and constraints in wearable and ubiquitous computing, input/output devices, human-computer interaction, embedded systems, prototyping, machine learning with focus on activity and affect recognition, applications with focus on healthcare, ethics, and social impact; project management and planning as students work on a semester-long team-based multidisciplinary project. Prerequisite: ECE 350L, ECE 230L, 250D, 270DL, and 280L and (Math 353 or 356) and (Math 230 or ECE 555 or ECE 380 or StatSci 240L or EGR 238L or Math 340) and (Physics 152L or 26) and (Chem 101DL or 20 or 21).","Graded","Spring Only"
"ECE","480","Applied Probability for Statistical Learning","This course discusses topics in Bayesian probability and its application to foundations of statistical learning. The primary objectives of the course are to provide a mathematically rigorous foundation in Bayesian probability and inference, develop strong intuition for Bayesian constructs, provide a foundation in statistical learning, and to show how Bayesian methods are fundamental to a variety of modern statistical learning techniques. Topics include probabilistic reasoning, Bayesian inference, linear models, mixture models, and model selection. Prerequisite: (Mathematics 216, 218, or 221) and (Statistical Science 130L, Statistical Science 240L, Mathematics 230, Mathematics 340, ECE 380, ECE 555, or EGR 238L) and (EGR 103L, Computer Science 101L, or Computer Science 201).","Graded","Fall Only"
"ECE","483","Introduction to Digital Communication Systems","Introduction to the design and analysis of modern digital communication systems. Communication channel characterization. Baseband and passband modulation techniques. Optimal demodulation techniques with performance comparisons. Key information-theoretic concepts including entropy and channel capacity. Channel-coding techniques based on block, convolutional and Trellis codes. Equalization techniques. Applications to design of digital telephone modems, compact discs and digital wireless communication systems. Prerequisite: ECE 280L and one of (Statistical Science 130L or Statistical Science 240L or Mathematics 230 or or Mathematics 340 or ECE 380 or ECE 555 or Engineering 238L).","Graded","Fall Only"
"ECE","485","Digital Audio and Acoustic Signal Processing","Fundamental concepts, theory & practice of digital audio and acoustic signal processing. Concerning the process of transducing, digitizing, filtering, transforming, coding, storing, manipulating, transmitting, distributing, analyzing & reproducing high quality music and other acoustic signals. Topics: signal quantization, discrete-time signal analysis, audio digital filtering and equalization, hearing for audio applications, audio perceptual encoding (e.g. MP3), time and pitch-scale modification, room acoustics, audio spatial effects, 3-D audio rendition, basic microphone array processing. Prerequisite: ECE 280L and one of (Statistical Science 130L or Statistical Science 240L or Mathematics 230 or or Mathematics 340 or ECE 380 or ECE 555 or Engineering 238L).","Graded","Spring Only"
"ECE","487","System Design for Machine Learning and Signal Processing","Small groups work through design process for a machine learning &/or signal processing system. Brainstorming ideas, reviewing modern techniques in ML & SP, choosing & implementing projects. Use of modern collaboration tools & techniques that allow agile collaborative group design & development, consideration of resources, delivery of written & oral presentations, consideration of appropriate engineering standards & realistic constraints. Prerequisites: ECE 230L & 250D & 270DL & 280L & (MATH 353 or 356) & (STA 240L, MATH 230, 231, 238L or 340, ECE 555 or EGR 238L) & (PHYSICS 26 or 152L) & (CHEM 101DL, 20 or 21) & two Signal Processing, Communication & Controls concentration electives.","Graded","Spring Only"
"ECE","488","Digital Image and Multidimensional Processing","Introduction to the theory and methods of digital image and video sampling, denoising, coding, reconstruction, and analysis. Both linear methods (such as 2- and 3-D Fourier analysis) and non-linear methods (such as wavelet analysis). Key topics include segmentation, interpolation, registration, noise removal, edge enhancement, halftoning and inverse halftoning, deblurring, tomographic reconstruction, superresolution, compression, and feature extraction. While this course covers techniques used in a wide variety of contexts, it places a strong emphasis on medical imaging applications. Prerequisite: Electrical and Computer Engineering 280L.","Graded","Spring Only"
"ECE","489","Advanced Robot System Design","Teams will design, implement, and integrate a robotic system to perform intelligent physical tasks. Tasks might include navigation, coordinated movement, or object manipulation, among others. Perception, control, and artificial intelligence software will be applied to operate sensing and actuation hardware. Robot middleware for distributed system integration. Simulation prototyping, unit testing, and metrics for performance evaluation. Major design project. Prerequisite: ECE 230L, 250D, 270DL, 280L, & 383 & (ECE 353/CS 310 or ECE 356/CS 356 or ECE 382L) & (MATH 353 or 356) & ( MATH 230, 231 or 340, or ECE 555 or 380, or STA 240L or EGR 238L) and (PHYS 152L or 26) and (CHEM 101DL or 20 or 21).","Graded","Spring Only"
"ECE","490D","Special Topics in Electrical and Computer Engineering","Study arranged on a special electrical and computer engineering topic in which the faculty has particular interest and competence as a result of research and professional activities. Instructor consent required.","Graded","Fall and/or Spring"
"ECE","490L","Special Topics in Electrical and Computer Engineering","Study arranged on a special electrical and computer engineering topic in which the faculty has particular interest and competence as a result of research and professional activities. Instructor consent required.","Graded","Fall and/or Spring"
"ECE","493","Projects in Electrical and Computer Engineering","Project arranged on a special topic by an instructor with related interests and expertise. For senior students. Consent of instructor and director of undergraduate studies required.","Graded","Fall Only"
"ECE","494","Projects in Electrical and Computer Engineering","Project arranged on a special topic by an instructor with related interests and expertise. For senior students. Consent of instructor and director of undergraduate studies required.","Graded","Spring Only"
"ECE","495","Special Topics in Electrical and Computer Engineering","Study of selected topics in electrical engineering tailored to fit the requirements of a small group. Consent of instructor and director of undergraduate studies required.","Graded","Fall Only"
"ECE","496","Special Topics in Electrical and Computer Engineering","Study of selected topics in electrical engineering tailored to fit the requirements of a small group. Consent of instructor and director of undergraduate studies required.","Graded","Spring Only"
"ECE","110L9","Fundamentals of Electrical and Computer Engineering - Lab","Students learn core ECE concepts, providing a foundation on which subsequent courses build. Concepts include techniques for analyzing linear circuits, semiconductor and photonic devices, frequency representation, filtering, combinational and sequential logic. Central to the course is an extensive design challenge that requires students to integrate knowledge across topics while honing practical design and project management skills. Course culminates in an exciting competition in which teams of robots race to overcome challenging obstacles using sensor data acquisition and processing.","Unattached Labs","Fall and/or Spring"
"ECE","230L9","Introduction to Microelectronic Devices and Circuits-Lab","Introduction to semiconductor materials and their corresponding electronic devices and circuits. In lab, students will perform photolithography and characterize devices and circuits. Lecture will cover: underlying physics of semiconductor materials; operation of semiconductor devices, including diodes and transistors (MOSFETs); and application of MOSFETs into digital circuits. Students will understand basic operation of semiconductor devices in a way that is foundational for the expansive semiconductor industry. Prerequisite: (Engineering 103L or Computer Science 201) and (Physics 152L or 26) and (Electrical and Computer Engineering 110L or Biomedical Engineering 253L).","Unattached Labs","Fall and/or Spring"
"ECE","270L9","Fields and Waves: Fundamentals of Information Propagation (Lab)","Introduces the concept of fields—a mathematical description of physical quantities that vary from place to place (and potentially from time to time)—and explores the mathematical and physical reasons that oscillatory behavior is so ubiquitous across engineering and physics. Introduces the mathematical foundations, followed by specific examples in electrical circuits, electromagnetic waves, quantum mechanics, and acoustics as well as the connection to Fourier analysis methods. Intended to facilitate subsequent study in any area involving wave phenomena, including analog and microwave circuits, electromagnetics, optics, and quantum mechanics. Prerequisite: Physics 152L or 26, Mathematics 212 or 222, and ECE 110L.","Unattached Labs","-"
"ECE","280L9","Signals and Systems - Lab","Continuous and discrete signal representation and classification; system classification and response; transfer functions. Fourier series; Fourier, Laplace, and z transforms. Applications to Integrated Sensing and Information Processing; networks, modulation, sampling, filtering, and digital signal processing. Laboratory projects using digital signal processing hardware and microcontrollers. Computational solutions of problems using Matlab and Maple.","Unattached Labs","Fall and/or Spring"
